Peak Time,Peak Energy,Peak Elevation,Peak Azimuth,Azimuthal Ram Angle,Heavy Anion Azimuth Angle,Flyby,Spacecraft Potential (LP),Instrument,Actuation Direction,Heavy Cation Azimuth Angle,Heavy Anion Azimuthal Deflection,Heavy Cation Azimuthal Deflection,Azimuthal Angle to Ram,Abs Azimuthal Angle to Ram,Deflection from Bulk,Bulk Deflection from Ram
11:57.6,8.629143851,2.057553355,91.65215486,90.1183908,89.03453064,t25,-0.569166725,els,positive,,2.617624221,,1.533764063,1.533764063,,
12:01.9,3.956456726,2.294013894,95.45728376,90.11777706,89.03453064,t25,-0.5633334,els,positive,,6.42275312,,5.339506699,5.339506699,,
12:40.2,3.99800908,-2.165086924,97.94181952,90.11263488,92.02456665,t25,-0.568750388,els,negative,,5.917252872,,7.829184647,7.829184647,4.772921084,1.144331788
12:44.3,8.678482546,-2.656854335,94.6686482,90.11216017,92.02456665,t25,-0.57125035,els,negative,,2.64408155,,4.556488033,4.556488033,1.499749761,1.144331788
12:52.1,13.19069092,,86.8956299,90.11131659,,t25,-0.57458355,ibs,negative,87.03956604,,-0.143936144,-3.215686692,3.215686692,-1.288267933,1.144331788
12:52.1,10.67617884,,86.89346876,90.11131637,,t25,-0.57458355,ibs,negative,87.03956604,,-0.146097284,-3.217847611,3.217847611,-1.290429072,1.144331788
12:52.2,6.013943242,,86.8775399,90.11131475,,t25,-0.57458355,ibs,negative,87.03956604,,-0.162026137,-3.233774843,3.233774843,-1.306357926,1.144331788
12:52.2,15.41334796,,86.85289153,90.11131224,,t25,-0.57458355,ibs,negative,87.03956604,,-0.186674512,-3.258420714,3.258420714,-1.3310063,1.144331788
12:52.2,8.003491789,,86.83453489,90.11131038,,t25,-0.57458355,ibs,negative,87.03956604,,-0.205031148,-3.276775488,3.276775488,-1.349362936,1.144331788
12:52.2,18.15929483,,86.8296632,90.11130989,,t25,-0.57458355,ibs,negative,87.03956604,,-0.209902844,-3.281646691,3.281646691,-1.354234633,1.144331788
12:52.3,20.61640963,,86.76955624,90.11130381,,t25,-0.57458355,ibs,negative,87.03956604,,-0.270009797,-3.34174757,3.34174757,-1.414341585,1.144331788
